time,open,high,low,close,Volume
2025-05-09T09:00:00Z,41303.5,41351.5,41301.5,41348.5,1736
2025-05-09T10:00:00Z,41348.5,41427.5,41347.5,41399.5,1803
2025-05-09T11:00:00Z,41400.5,41488.5,41255.5,41410.5,6062
2025-05-09T12:00:00Z,41409.5,41506.5,41393.5,41456.5,4153
2025-05-09T13:00:00Z,41456.5,41504.5,41355.5,41436.5,10606
2025-05-09T14:00:00Z,41435.5,41465.5,41192.5,41265.5,14826
2025-05-09T15:00:00Z,41266.5,41324.5,41208.5,41318.5,11598
2025-05-09T16:00:00Z,41319.5,41323.5,41120.5,41138.5,10408
2025-05-09T17:00:00Z,41139.5,41291.5,41121.5,41283.5,8621
2025-05-09T18:00:00Z,41283.5,41288.5,41205.5,41263.5,7132
2025-05-09T19:00:00Z,41263.5,41330.5,41197.5,41213.5,9218
2025-05-09T20:00:00Z,41214.5,41269.5,41197.5,41269.5,2070
2025-05-11T22:00:00Z,41758.5,41790.5,41593.5,41612.5,5541
2025-05-11T23:00:00Z,41615.5,41690.5,41605.5,41645.5,3098
2025-05-12T00:00:00Z,41644.5,41684.5,41630.5,41648.5,3029
2025-05-12T01:00:00Z,41647.5,41699.5,41641.5,41664.5,2189
2025-05-12T02:00:00Z,41663.5,41670.5,41644.5,41660.5,1121
2025-05-12T03:00:00Z,41659.5,41706.5,41648.5,41700.5,820
2025-05-12T04:00:00Z,41699.5,41712.5,41687.5,41691.5,619
2025-05-12T05:00:00Z,41692.5,41713.5,41677.5,41695.5,883
2025-05-12T06:00:00Z,41695.5,41730.5,41662.5,41712.5,1914
2025-05-12T07:00:00Z,41712.5,42252.5,41710.5,42030.5,10267
2025-05-12T08:00:00Z,42031.5,42123.5,42000.5,42059.5,7556
2025-05-12T09:00:00Z,42060.5,42142.5,42048.5,42142.5,3373
2025-05-12T10:00:00Z,42141.5,42309.5,42124.5,42294.5,4854
2025-05-12T11:00:00Z,42289.5,42322.5,42189.5,42235.5,6824
2025-05-12T12:00:00Z,42236.5,42370.5,42228.5,42281.5,4648
2025-05-12T13:00:00Z,42281.5,42355.5,42199.5,42243.5,14443
2025-05-12T14:00:00Z,42248.5,42319.5,42104.5,42228.5,14981
2025-05-12T15:00:00Z,42229.5,42268.5,42108.5,42112.5,11597
2025-05-12T16:00:00Z,42113.5,42289.5,42097.5,42284.5,7448
2025-05-12T17:00:00Z,42286.5,42377.5,42283.5,42314.5,7442
2025-05-12T18:00:00Z,42315.5,42418.5,42312.5,42357.5,6473
2025-05-12T19:00:00Z,42356.5,42416.5,42289.5,42406.5,9239
2025-05-12T20:00:00Z,42406.5,42477.5,42406.5,42442.5,2418
2025-05-12T22:00:00Z,42427.5,42431.5,42371.5,42379.5,1598
2025-05-12T23:00:00Z,42380.5,42440.5,42352.5,42352.5,1110
2025-05-13T00:00:00Z,42353.5,42353.5,42309.5,42316.5,2580
2025-05-13T01:00:00Z,42317.5,42344.5,42305.5,42335.5,1820
2025-05-13T02:00:00Z,42336.5,42362.5,42304.5,42324.5,1528
2025-05-13T03:00:00Z,42325.5,42329.5,42288.5,42289.5,1106
2025-05-13T04:00:00Z,42289.5,42299.5,42251.5,42280.5,1239
2025-05-13T05:00:00Z,42280.5,42313.5,42269.5,42306.5,1289
2025-05-13T06:00:00Z,42307.5,42338.5,42297.5,42300.5,2061
2025-05-13T07:00:00Z,42302.5,42329.5,42271.5,42282.5,3388
2025-05-13T08:00:00Z,42283.5,42346.5,42283.5,42305.5,2581
2025-05-13T09:00:00Z,42306.5,42373.5,42299.5,42372.5,1526
2025-05-13T10:00:00Z,42373.5,42375.5,42168.5,42186.5,3983
2025-05-13T11:00:00Z,42189.5,42217.5,42124.5,42178.5,3149
2025-05-13T12:00:00Z,42180.5,42351.5,42169.5,42222.5,6477
2025-05-13T13:00:00Z,42221.5,42297.5,42182.5,42258.5,11196
2025-05-13T14:00:00Z,42260.5,42376.5,42205.5,42232.5,12569
2025-05-13T15:00:00Z,42228.5,42327.5,42210.5,42246.5,8593
2025-05-13T16:00:00Z,42246.5,42250.5,42177.5,42202.5,6660
2025-05-13T17:00:00Z,42204.5,42325.5,42189.5,42237.5,6145
2025-05-13T18:00:00Z,42237.5,42259.5,42173.5,42242.5,6098
2025-05-13T19:00:00Z,42242.5,42293.5,42122.5,42125.5,7605
2025-05-13T20:00:00Z,42127.5,42146.5,42106.5,42138.5,2209
2025-05-13T22:00:00Z,42166.5,42175.5,42163.5,42169.5,119
